-28.579833333333326,-29.394066666666674,-30.576400000000003,-31.98373333333335,-34.320466666666654,-37.57233333333334,-39.42716666666665,-40.22093333333333,-40.485200000000006,-40.60453333333332,-40.79073333333334,-40.87819999999999,-40.846399999999996,-41.06150000000001,-41.07653333333334,-40.933399999999985,-41.003866666666674,-40.885366666666634,-40.88883333333333,-40.808399999999985,-40.76793333333333,-40.71613333333333,-40.4783,-40.586933333333334,-40.370666666666665,-40.47923333333332,-40.489033333333325,-40.267399999999995,-40.179666666666684,-40.17526666666667,-40.084966666666666,-39.95459999999999,-39.99416666666669,-40.07003333333334,-39.924833333333325,-39.65226666666667,-39.66926666666665,-39.667966666666686,-39.731933333333316,-39.617099999999986,-39.462100000000014,-39.53293333333333,-39.325933333333325,-39.42416666666668,-39.24126666666666,-39.35753333333332,-39.1779,-39.14183333333333,-39.20499999999998,-39.176866666666676,-39.01106666666667,-38.81299999999999,-38.673299999999976
10,8,16,9,7,11,24,16,17,15,16,21,23,25,27,28,30,28,36,36,35,39,40,39,39,40,43,44,39,43,41,43,45,41,47,45,43,45,45,48,46,45,45,46,44,44,44,46,47,47,45,46,45
20,58,98,69,99,96,94,90,88,86,83,80,81,78,79,75,74,75,75,75,71,74,70,72,66,68,68,69,64,67,64,67,65,65,64,66,64,63,63,64,64,63,64,62,61,59,58,61,62,60,60,60,58
