-99.8,-79.3823,0,-54.2036,-46.6313,-40.2058,-35.0001,-30.3832,-26.3813,-21.3479,-17.7466,-15.1228,-13.3818,-11.9801,-10.9084,-10.1107,-9.4668,-8.8456,-8.2858,-7.8205
91,39,-8,34,10,22,13,14,21,18,15,18,13,10,16,82,58,48,36,28
92,46,2,82,75,82,90,94,108,92,94,70,74,63,48,107,70,96,95,78
