-99.8,-79.5178,0,-54.4744,-46.261,-40.3533,-35.0341,-30.7454,-27.3505,-24.2768,-21.8027,-19.3808,-17.1753,-15.8362,-14.0514,-12.5053,-11.3498,-9.9643,-9.3445,-8.7852
91,48,-8,14,22,14,12,22,15,16,17,20,18,21,20,16,16,51,14,37
92,56,2,76,84,86,87,81,82,91,92,90,85,96,95,88,96,65,83,71
