-99.8,-79.1189,0,-54.3781,-46.6591,-39.968,-35.0181,-30.9551,-27.224,-24.4752,-21.7683,-19.3957,-17.5701,-15.6484,-14.2311,-12.9468,-11.2731,-10.3084,-9.4325,-8.8696
91,63,-8,14,17,28,17,21,14,15,16,18,15,14,26,21,18,22,57,31
92,71,2,73,75,76,77,86,84,87,90,89,89,92,96,90,81,95,78,93
