-100.0,-90.6846666667,-82.5609333333,-75.5085333333,-69.5055666667,0,-59.8622333333,-55.9492333333,-52.412,-49.3164,-46.1908666667,-43.5025666667,-41.0783333333,-38.8510333333,-36.8374333333,-34.6976666667,-33.0605666667,-31.4081666667,-29.8851,-28.5002333333,-27.1071666667,-25.7998666667,-24.5915666667,-23.5089333333,-22.5253333333,-21.5075333333,-20.5171,-19.6360333333,-18.8767333333,-17.9386,-17.2251,-16.4754333333,-15.8477666667,-15.1869,-14.5267,-13.9082,-13.3787666667,-12.8654666667,-12.2779,-11.7577333333,-11.1403666667,-10.764,-10.1457666667,-9.85013333333,-9.5501,-9.3331,-9.1068,-8.89416666667,-8.68796666667,-8.47626666667
100,53,63,32,36,-10,21,22,21,20,21,19,16,17,23,19,27,12,16,21,15,14,20,22,20,22,21,20,10,20,22,26,19,18,16,18,25,26,17,17,20,23,16,22,68,49,39,65,76,82
101,56,66,48,55,0,65,74,74,76,77,79,82,80,82,77,85,77,82,82,87,87,86,85,87,88,90,90,91,93,92,91,93,92,92,94,93,94,96,83,88,95,60,34,93,82,53,103,82,97
