-43.14656666666668,-42.5501,-42.53310000000001,-42.338633333333334,-42.11063333333336,-41.37586666666668,-41.37176666666665,-40.817000000000014,-40.606733333333324,-40.25316666666667,-39.493066666666664,-39.619466666666646,-39.242200000000004,-38.976600000000005,-38.39630000000002,-38.529066666666665,-37.62906666666669,-37.53473333333334,-36.70796666666666,-37.0794,-36.70596666666666,-36.2017,-36.02506666666668,-35.88836666666669,-35.629900000000006,-35.36790000000001,-35.19856666666667,-34.46969999999999,-34.265233333333335,-34.33556666666666,-33.59299999999999,-33.249599999999994,-33.2417,-33.12476666666667,-32.66676666666667,-32.372366666666665,-32.062466666666666,-31.699866666666665,-31.36383333333332,-31.250300000000006,-31.063833333333328,-30.711233333333332,-30.506733333333337,-30.282366666666654,-30.489966666666668,-29.9232,-29.652,-29.17596666666667,-29.244066666666658,-29.43860000000001
5,1,6,8,7,6,7,4,10,3,2,6,2,6,12,8,10,8,12,6,7,12,19,8,12,10,20,15,18,12,15,16,16,20,16,15,16,19,18,17,24,16,27,25,23,26,30,31,27,27
106,89,98,98,99,87,96,104,94,93,90,106,99,97,88,102,94,92,88,89,84,108,99,105,95,96,94,81,81,83,82,87,98,92,93,87,102,85,109,85,105,92,85,99,79,70,75,61,68,73
